"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone","scenario"
227,3819.8,24317.39,14514.67,15123.36,14411.08,31.7683781497524,45692.4189,1438.29876,11.9619924865176,0.0835981130340202,1,"NewCa E","Study Area","tp2_c_2050_121520"
151,13937.07,59437.06,39044.41,40023.69,38839.53,32.3104253084553,187978.5262,5817.89080166667,13.4876646382633,0.0741418197160012,1,"NewCa W","Study Area","tp2_c_2050_121520"
329,3.81,1129.53,627.45,767.03,608.61,29.1983581755577,29.1422,0.998076666666667,7.64887139107612,0.130738242136832,1,"NewCa E","Study Area","tp3_bau_2050_121520"
225,15.65,5820.46,3551.03,4182.47,3548.79,32.7426866082367,177.6825,5.42663166666667,11.3535143769968,0.0880784545467336,1,"NewCa W","Study Area","tp3_bau_2050_121520"
345,128.22,12836.31,7227.07,8076.4,7161.05,30.7199647648595,1441.7009,46.9304216666667,11.2439627203244,0.0889366164646217,1,"NewCa W","Study Area","tp3_bau_2050_121520"
224,137.49,19113.64,11308.8,12403.01,11175.57,32.8282452036922,2028.0972,61.7790316666667,14.7508706087715,0.0677926087566217,1,"NewCa W","Study Area","tp3_bau_2050_121520"
153,198.44,25730.5,15939.41,18119.22,15933.65,32.8038335432121,4020.1835,122.552246666667,20.2589372102399,0.0493609309127307,1,"NewCa W","Study Area","tp3_bau_2050_121520"
228,283.53,12150.66,6301.86,6920.32,6266.49,29.6710471915203,3003.9841,101.242941666667,10.5949426868409,0.0943846540332887,1,"NewCa E","Study Area","tp3_bau_2050_121520"
223,465.89,15192.86,7815.85,8616.88,7812.66,28.519172039544,5850.9738,205.159315,12.5587022687759,0.0796260615626069,1,"NewCa W","Study Area","tp3_bau_2050_121520"
155,526.67,34914.99,20213.47,22673.39,20164.66,29.8813445572558,7785.9934,260.56369,14.7834382060873,0.0676432630934416,1,"NewCa W","Study Area","tp3_bau_2050_121520"
150,625.48,34680.35,20490.99,22210.79,20594.24,32.8588283386187,8621.3887,262.376631666667,13.7836360874848,0.0725497969950015,1,"NewCa E","Study Area","tp3_bau_2050_121520"
237,692.69,34709.33,20305.14,22660.5,20144.99,28.9341892869971,9480.8469,327.669346666667,13.6869983686786,0.0730620383712767,1,"NewCa E","Study Area","tp3_bau_2050_121520"
344,760.67,33174.22,19141.95,20642.53,19074.3,31.1540426331262,10435.174,334.95409,13.7183982541707,0.0728948075039285,1,"NewCa W","Study Area","tp3_bau_2050_121520"
