"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
11,164,1.57,11.46,8.3,12.43,8.3,43.455497382199,13.031,0.29987
11,222,1.23,11.7,9.43,11.7,9.43,48.3589743589744,11.5989,0.23985
11,223,0.23,12.27,10.42,12.27,10.42,50.9535452322738,2.3966,0.047035
11,224,0.09,11.88,9.41,11.88,9.41,47.5252525252525,0.8469,0.01782
11,226,0.43,12.06,9.47,12.06,9.47,47.1144278606965,4.0721,0.08643
11,227,0.6,11.68,9.44,11.68,9.44,48.4931506849315,5.664,0.1168
11,228,0.16,9.66,8.07,9.66,8.07,50.1242236024845,1.2912,0.02576
11,229,0.62,12.15,10.47,12.15,10.47,51.7037037037037,6.4914,0.12555
11,237,0.2,14.57,11.79,14.57,11.79,48.5518188057653,2.358,0.0485666666666667
11,238,0.81,11.97,9.63,11.97,9.63,48.2706766917293,7.8003,0.161595
11,318,2.1,9.94,8.43,9.94,8.43,50.8853118712274,17.703,0.3479
11,327,2.61,14.96,12.6,14.96,12.6,50.5347593582888,32.886,0.65076
11,344,1.02,12.6,10.66,12.6,10.66,50.7619047619048,10.8732,0.2142
11,345,0.19,12.23,9.91,12.23,9.91,48.6181520850368,1.8829,0.0387283333333333
12,142,0.29,13.72,8.54,13.72,8.54,37.3469387755102,2.4766,0.0663133333333333
12,149,1.22,9.25,7.9,9.25,7.9,51.2432432432432,9.638,0.188083333333333
12,150,0.03,10.05,8.37,10.05,8.37,49.9701492537313,0.2511,0.005025
12,151,1.91,10.77,8.78,10.77,8.78,48.9136490250696,16.7698,0.342845
12,152,0.6,12.56,10.47,12.56,10.47,50.015923566879,6.282,0.1256
12,154,1.52,11.67,10.19,11.67,10.19,52.3907455012853,15.4888,0.29564
12,155,0.13,13.32,11.31,13.32,11.31,50.945945945946,1.4703,0.02886
12,158,0.13,14.79,12.43,14.79,12.43,50.4259634888438,1.6159,0.032045
12,164,0.81,11.89,8.74,11.89,8.74,44.1042893187553,7.0794,0.160515
12,222,0.52,11.13,9.19,11.13,9.19,49.5417789757412,4.7788,0.09646
12,223,0.1,11.7,10.18,11.7,10.18,52.2051282051282,1.018,0.0195
12,224,0.03,11.31,9.17,11.31,9.17,48.6472148541114,0.2751,0.005655
12,226,0.18,11.49,9.23,11.49,9.23,48.1984334203655,1.6614,0.03447
12,227,0.25,11.11,9.2,11.11,9.2,49.6849684968497,2.3,0.0462916666666667
12,228,0.06,9.09,7.84,9.09,7.84,51.7491749174918,0.4704,0.00909
12,229,0.26,11.58,10.23,11.58,10.23,53.0051813471503,2.6598,0.05018
12,237,0.08,14,11.55,14,11.55,49.5,0.924,0.0186666666666667
12,238,0.34,11.4,9.39,11.4,9.39,49.421052631579,3.1926,0.0646
12,318,0.87,9.37,8.19,9.37,8.19,52.4439701173959,7.1253,0.135865
12,327,1.08,14.39,12.36,14.39,12.36,51.5357887421821,13.3488,0.25902
12,344,0.49,12.03,10.42,12.03,10.42,51.9700748129676,5.1058,0.098245
12,345,0.09,11.66,9.67,11.66,9.67,49.7598627787307,0.8703,0.01749
13,142,0.14,13.22,8.33,13.22,8.33,37.8063540090772,1.1662,0.0308466666666667
13,149,0.58,9.28,7.49,9.28,7.49,48.426724137931,4.3442,0.0897066666666666
13,150,0.01,10.09,7.96,10.09,7.96,47.3339940535183,0.0796,0.00168166666666667
13,151,0.9,10.81,8.38,10.81,8.38,46.5124884366328,7.542,0.16215
13,152,0.28,12.6,10.06,12.6,10.06,47.9047619047619,2.8168,0.0588
13,154,0.66,11.7,9.79,11.7,9.79,50.2051282051282,6.4614,0.1287
13,155,0.06,13.35,10.9,13.35,10.9,48.9887640449438,0.654,0.01335
13,158,0.06,14.83,12.02,14.83,12.02,48.6311530681052,0.7212,0.01483
13,164,0.3,11.71,8.4,11.93,8.34,43.0401366353544,2.52,0.05855
13,222,0.24,11.17,8.78,11.17,8.78,47.1620411817368,2.1072,0.04468
13,223,0.04,11.73,9.77,11.73,9.77,49.9744245524297,0.3908,0.00782
13,224,0.02,11.35,8.77,11.35,8.77,46.3612334801762,0.1754,0.00378333333333333
13,226,0.09,11.52,8.83,11.52,8.83,45.9895833333333,0.7947,0.01728
13,227,0.12,11.14,8.79,11.14,8.79,47.342908438061,1.0548,0.02228
13,228,0.03,9.12,7.43,9.12,7.43,48.8815789473684,0.2229,0.00456
13,229,0.12,11.61,9.83,11.61,9.83,50.8010335917313,1.1796,0.02322
13,237,0.04,14.04,11.14,14.04,11.14,47.6068376068376,0.4456,0.00936
13,238,0.16,11.43,8.98,11.43,8.98,47.1391076115486,1.4368,0.03048
13,318,0.42,9.4,7.79,9.4,7.79,49.7234042553191,3.2718,0.0658
13,327,0.51,14.43,11.95,14.43,11.95,49.6881496881497,6.0945,0.122655
13,344,0.2,12.07,10.02,12.07,10.02,49.8094449047225,2.004,0.0402333333333333
13,345,0.04,11.69,9.26,11.69,9.26,47.5278015397776,0.3704,0.00779333333333333
14,142,0.32,12.84,8.17,12.84,8.17,38.1775700934579,2.6144,0.06848
14,149,1.25,8.92,7.34,8.92,7.34,49.372197309417,9.175,0.185833333333333
14,150,0.03,9.73,7.81,9.73,7.81,48.1603288797533,0.2343,0.004865
14,151,1.99,10.44,8.23,10.44,8.23,47.2988505747127,16.3777,0.34626
14,152,0.61,12.24,9.91,12.24,9.91,48.578431372549,6.0451,0.12444
14,154,1.4,11.34,9.63,11.34,9.63,50.952380952381,13.482,0.2646
14,155,0.13,12.99,10.75,12.99,10.75,49.6535796766744,1.3975,0.028145
14,158,0.14,14.47,11.87,14.47,11.87,49.2190739460954,1.6618,0.0337633333333333
14,164,0.66,11.56,8.18,11.56,8.18,42.4567474048443,5.3988,0.12716
14,222,0.53,10.81,8.63,10.81,8.63,47.900092506938,4.5739,0.0954883333333333
14,223,0.09,11.37,9.62,11.37,9.62,50.7651715039578,0.8658,0.017055
14,224,0.03,10.99,8.62,10.99,8.62,47.0609645131938,0.2586,0.005495
14,226,0.19,11.16,8.68,11.16,8.68,46.6666666666667,1.6492,0.03534
